first_name,second_name,web_name,id,team,total_points,dreamteam_count,element_type,in_dreamteam,now_cost,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
Chris,Basham,Basham,423,15,123,0,2,FALSE,46,3.2,3242,0,1,13,37,0,0,0,4,0,0,6,639,707.6,212.1,103,102.7
Jack,Robinson,Jack Robinson,611,15,14,0,2,FALSE,40,2.3,504,0,0,1,11,0,0,0,0,0,0,2,87,106.8,30.4,2,14
Maya,Yoshida,Yoshida,310,16,10,0,2,FALSE,41,1.2,558,0,0,1,18,0,0,0,1,0,0,1,85,96.8,3.7,77,17.7
Pierre-Emile,Højbjerg,Højbjerg,325,16,75,0,3,FALSE,48,2.3,2750,0,3,7,51,0,0,0,5,0,0,1,412,493,469,368,133.1
Oriol,Romeu Vidal,Oriol Romeu,328,16,51,0,3,FALSE,43,1.7,1855,0,0,5,38,0,0,0,5,0,0,1,301,333.2,272.9,69,67.6
Kyle,Walker-Peters,Walker-Peters,337,16,32,0,2,FALSE,44,2.5,944,0,1,2,12,0,0,0,1,0,0,2,194,168.2,108.6,48,32.2
William,Smallbone,Smallbone,584,16,24,0,3,FALSE,45,2.7,389,0,2,3,4,0,0,0,0,0,0,1,84,70.2,53.2,43,16.5
Ben,Davies,Davies,329,17,41,0,2,FALSE,53,2.3,1430,0,0,4,19,0,0,0,6,0,0,2,223,279.8,172.4,94,54.4
Giovani,Lo Celso,Lo Celso,523,17,54,0,3,FALSE,73,1.9,1482,0,3,6,18,0,0,0,6,0,0,3,250,303.2,459.4,176,93.9
Adrian,Mariappa,Mariappa,356,18,26,0,2,FALSE,41,1.3,1509,0,0,3,33,1,0,0,4,1,0,1,185,216.6,75.2,32,31.7
Etienne,Capoue,Capoue,373,18,78,0,3,FALSE,48,2.6,2627,0,4,8,48,0,0,0,8,0,0,7,394,482.8,313.6,102,90
Nathaniel,Chalobah,Chalobah,374,18,36,0,3,FALSE,44,1.6,919,0,1,2,14,0,0,0,1,0,0,2,142,162.2,130.3,55,34.5
Manuel,Lanzini,Lanzini,391,19,50,0,3,FALSE,61,2.1,1370,0,3,2,30,0,0,0,1,0,0,3,234,219,464.8,281,96.5
Conor,Coady,Coady,403,20,118,0,2,FALSE,51,3.1,3420,0,0,13,40,0,0,0,5,0,0,7,648,556.4,68.8,0,62.4
Willy,Boly,Boly,405,20,97,0,2,FALSE,49,4.4,1980,0,1,12,15,0,0,0,1,1,0,10,470,477,85.8,119,68.4
Rúben Gonçalo,Silva Nascimento Vinagre,Vinagre,406,20,32,0,2,FALSE,41,2,644,0,0,3,6,0,0,0,1,0,0,1,134,130.4,96.2,56,28.1
Henrikh,Mkhitaryan,Mkhitaryan,16,1,4,0,3,FALSE,67,1.3,110,0,0,1,0,0,0,0,1,0,0,0,3,5.4,33.9,46,8.6
Emile,Smith Rowe,Smith Rowe,576,1,4,0,3,FALSE,43,2,96,0,0,1,0,0,0,0,0,0,0,0,13,9.8,6.3,0,1.6
Neil,Taylor,Taylor,24,2,22,0,2,FALSE,42,1.6,1088,0,0,2,25,0,0,0,2,0,0,0,163,157.6,79.7,29,26.7
Jonathan,Kodjia,Kodjia,26,2,5,0,4,FALSE,54,0.8,111,0,0,0,6,0,0,0,1,0,0,0,14,3.4,12.2,24,3.8
Keinan,Davis,Davis,34,2,25,0,3,FALSE,42,1.4,534,0,1,1,7,0,0,0,0,0,0,0,43,27.8,71.7,212,29.9
Henri,Lansbury,Lansbury,35,2,12,0,3,FALSE,44,1.2,190,0,0,0,6,0,0,0,0,0,0,0,37,13.4,27.2,13,5.5
José Ignacio,Peleteiro Romallo,Jota,36,2,17,0,3,FALSE,57,1.7,329,0,1,2,5,0,0,0,0,0,0,0,48,47,56.9,73,17.3
Daniel,Drinkwater,Drinkwater,120,2,6,0,3,FALSE,44,1.2,317,0,0,0,11,0,0,0,1,0,0,0,32,18.6,21.2,8,4.7
Marvelous,Nakamba,Nakamba,491,2,43,0,3,FALSE,44,1.5,1826,0,0,1,37,0,0,0,5,0,0,0,273,292.2,162.9,24,47.9
